nationID,nationName,Group,url,flag,emojiString,fifaRank,market Value,bestPlayerURL,Confederation
KSA,Saudi Arabia,Group C,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/750px-Flag_of_Saudi_Arabia.png,flag-sa,SA,51,€23.18m,Salman Al-Faraj,AFC
DEN,Denmark,Group D,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/740px-Flag_of_Denmark.png,flag-dk,DK,10,€339.30m,Simon Kjaer,UEFA
FRA,France,Group D,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/900px-Flag_of_France.png,flag-fr,FR,4,€886.00m,Olivier Giroud,UEFA
TUN,Tunisia,Group D,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/1200px-Flag_of_Tunisia.png,flag-tn,TN,30,€65.85m,Ellyes Skhiri,CAF
AUS,Australia,Group D,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/1280px-Flag_of_Australia_%28converted%29.png,flag-au,AU,38,€40.33m,Mathew Leckie,AFC
GER,Germany,Group E,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/800px-Flag_of_Germany.png,flag-de,DE,11,€746.50m,Thomas Müller,UEFA
ESP,Spain,Group E,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/750px-Flag_of_Spain.png,flag-es,ES,7,€805.00m,Sergio Busquets,UEFA
JPN,Japan,Group E,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/900px-Flag_of_Japan.png,flag-jp,JP,24,€131.70m,Eiji Kawashima,AFC
CRC,Costa Rica,Group E,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Costa_Rica_%28state%29.svg/833px-Flag_of_Costa_Rica_%28state%29.png,flag-cr,CR,31,€7.08m,Joel Campbell,CONCACAF
MAR,Morocco,Group F,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/900px-Flag_of_Morocco.png,flag-ma,MA,22,€232.30m,Munir,CAF
BEL,Belgium,Group F,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/750px-Flag_of_Belgium.png,flag-be,BE,2,€554.00m,Thibaut Courtois,UEFA
CRO,Croatia,Group F,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/800px-Flag_of_Croatia.png,flag-hr,HR,12,€369.40m,Luka Modric,UEFA
CAN,Canada,Group F,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/900px-Flag_of_Canada_%28Pantone%29.svg.png,flag-ca,CA,41,€172.13m,-,CONCACAF
SUI,Switzerland,Group G,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Switzerland_%28Pantone%29.svg/600px-Flag_of_Switzerland_%28Pantone%29.png,flag-ch,CH,15,€192.20m,Xherdan Shaqiri,UEFA
BRA,Brazil,Group G,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/720px-Flag_of_Brazil.png,flag-br,BR,1,€1.09bn,Thiago Silva,CONMEBOL
CMR,Cameroon,Group G,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/800px-Flag_of_Cameroon.svg.png,flag-cm,CM,43,€114.75m,Nicolas N'Koulou,CAF
SRB,Serbia,Group G,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/1350px-Flag_of_Serbia.png,flag-rs,RS,21,€328.00m,Dusan Tadić,UEFA
URU,Uruguay,Group H,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/900px-Flag_of_Uruguay.png,flag-uy,UY,14,€395.40m,Fernando Muslera,CONMEBOL
POR,Portugal,Group H,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/600px-Flag_of_Portugal.png,flag-pt,PT,9,€882.00m,Cristiano Ronaldo,UEFA
KOR,Korea Republic,Group H,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/900px-Flag_of_South_Korea.png,flag-kr,KR,28,€159.55m,Heung-min Son,AFC
GHA,Ghana,Group H,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/1024px-Flag_of_Ghana.svg.png,flag-gh,GH,61,€206.40m,André Ayew,CAF
